tên_món,nguyên_liệu,grams,ghi_chú
Bánh đúc,Bột gạo,100,Bột gạo tẻ
Bánh đúc,Đậu phộng,30,Đậu phộng chiên
Bánh đúc,Nước cốt dừa,50,Nước cốt dừa pha vôi
Bánh đúc,Thịt lợn,30,Thịt lợn băm nấu
Bánh đúc,Nấm mộc nhĩ,10,Mộc nhĩ ngâm
Bánh đúc,Nước mắm,10,Nước mắm ngọt
Bánh giò,Bột tẻ,60,Bột mịn
Bánh giò,Nước dùng xương,100,Nước hầm xương
Bánh giò,Thịt lợn,40,Thịt lợn băm
Bánh giò,Nấm mộc nhĩ,15,Mộc nhĩ ngâm
Bánh giò,Hành tây,8,Hành tây phi
Bánh giò,Trứng cút,2,Trứng cút
Bánh khọt,Bột gạo,40,Bột gạo
Bánh khọt,Bột nghệ,2,Bột nghệ
Bánh khọt,Tôm,40,Tôm tươi
Bánh khọt,Mỡ hành,5,Mỡ hành phi
Bánh khọt,Bột tôm,5,Bột tôm khô
Bánh khọt,Rau sống,20,Rau sống làm đẹp
Bánh khọt,Nước mắm,10,Nước mắm pha ớt
Bánh khọt,Chanh,5,Chanh vắt
Bánh khọt,Ớt,2,Ớt tươi
Bánh pía,Bột mì,100,Bột mì
Bánh pía,Đậu xanh,80,Đậu xanh sên
Bánh pía,Sầu riêng,60,Sầu riêng (tuỳ chọn)
Bánh pía,Lòng đỏ trứng,20,Lòng đỏ trứng muối
Bánh pía,Mỡ heo,30,Mỡ lợn
Bánh tét,Gạo nếp,250,Gạo nếp
Bánh tét,Đậu xanh,120,Đậu xanh ngâm
Bánh tét,Thịt ba chỉ,100,Thịt ba chỉ nấu chín
Bánh tét,Nước cốt dừa,80,Nước cốt dừa
Bánh tét,Hành lá,5,Hành lá xắt (nếu có)
Bánh tráng nướng,Bánh tráng,30,Bánh tráng
Bánh tráng nướng,Trứng cút,3,Trứng cút
Bánh tráng nướng,Tép khô,10,Tép khô
Bánh tráng nướng,Mỡ hành,5,Mỡ hành phi
Bánh tráng nướng,Xúc xích,20,Xúc xích thái
Bánh tráng nướng,Phô mai,10,Phô mai ghiền
Bánh tráng nướng,Tương ớt,5,Tương ớt
Cá kho tộ,Cá lóc,300,Cá lóc/cá hú
Cá kho tộ,Nước mắm,30,Nước mắm
Cá kho tộ,Nước màu,20,Nước màu
Cá kho tộ,Đường,10,Đường trắng
Cá kho tộ,Tiêu đen,2,Tiêu xay
Cá kho tộ,Tỏi,20,Tỏi xắt
Cá kho tộ,Ớt sừng,5,Ớt sừng
Canh chua,Cá lóc,200,Cá lóc/tôm
Canh chua,Giá đỗ,50,Giá đỗ
Canh chua,Dọc mùng,30,Bạc hà/dọc mùng
Canh chua,Dứa,40,Thơm/dứa
Canh chua,Cà chua,60,Cà chua
Canh chua,Me,20,Nước cốt me
Cao lầu,Bánh cao lầu,150,Sợi cao lầu
Cao lầu,Thịt xá xíu,40,Thịt xá xíu
Cao lầu,Tóp mỡ,30,Tóp mỡ chiên
Cao lầu,Giá chần,30,Giá chần
Cao lầu,Rau đắng,20,Rau đắng
Cao lầu,Nước tương xíu,15,Nước tương xíu
Cháo lòng,Gạo tẻ,100,Gạo tẻ
Cháo lòng,Dồi heo,50,Dồi heo luộc
Cháo lòng,Gan heo,30,Gan heo
Cháo lòng,Tim heo,20,Tim heo
Cháo lòng,Dạ dày,30,Dạ dày heo
Cháo lòng,Dồi trường,20,Dồi trường
Cháo lòng,Hành lá,10,Hành lá xắt
Cháo lòng,Rau mùi,5,Rau mùi xắt
Cháo lòng,Tiêu đen,2,Tiêu xay
Cơm tấm,Gạo tấm,150,Gạo tấm
Cơm tấm,Sườn heo,80,Sườn heo nướng
Cơm tấm,Bì heo,30,Bì heo
Cơm tấm,Chả trứng,25,Chả trứng hấp
Cơm tấm,Trứng gà,1,Trứng ốp la
Cơm tấm,Mỡ hành,10,Mỡ hành phi
Hủ tiếu,Bánh hủ tiếu,80,Sợi hủ tiếu
Hủ tiếu,Xương ống,40,Xương ống heo
Hủ tiếu,Tôm,30,Tôm
Hủ tiếu,Gan heo,20,Gan heo
Hủ tiếu,Thịt lợn,20,Thịt lợn băm
Hủ tiếu,Trứng cút,2,Trứng cút
Hủ tiếu,Tỏi,5,Tỏi phi
Hủ tiếu,Nước dùng lợn,300,Nước dùng
Hủ tiếu,Rau mùi,5,Rau mùi xắt
Mì Quảng,Mì Quảng,80,Sợi mì Quảng
Mì Quảng,Thịt gà,60,Thịt gà/heo
Mì Quảng,Tôm,40,Tôm
Mì Quảng,Trứng cút,3,Trứng cút
Mì Quảng,Bánh tráng,20,Bánh tráng nướng
Mì Quảng,Đậu phộng,20,Đậu phộng
Mì Quảng,Rau mầm,30,Rau mầm xanh
Mì Quảng,Nước mắm,15,Nước mắm pha ớt
Mì Quảng,Hành tây,10,Hành tây phi
Mì Quảng,Rau mùi,5,Rau mùi xắt
Nem chua,Thịt nạc,150,Thịt nạc đùi heo
Nem chua,Bì heo,50,Bì heo
Nem chua,Tỏi,30,Tỏi xắt lát
Nem chua,Ớt,20,Ớt xắt
Nem chua,Tiêu sọ,5,Tiêu sọ
Xôi xéo,Gạo nếp,200,Gạo nếp cái hoa vàng
Xôi xéo,Bột nghệ,3,Bột nghệ
Xôi xéo,Đậu xanh,50,Đậu xanh đồ nhuyễn
Xôi xéo,Mỡ,20,Mỡ nước
Xôi xéo,Hành tím,15,Hành tím phi giòn
Bún đậu mắm tôm,Bún lá,100,Bún tươi
Bún đậu mắm tôm,Tàu hủ,80,Đậu hũ chiên giòn
Bún đậu mắm tôm,Thịt ba chỉ,60,Thịt ba chỉ luộc
Bún đậu mắm tôm,Chả cốm,30,Chả cốm
Bún đậu mắm tôm,Mắm tôm,30,Mắm tôm pha
Bún đậu mắm tôm,Chanh,20,Chanh vắt
Bún đậu mắm tôm,Tía tô,20,Tía tô
Bún mắm,Bún tươi,120,Bún tươi
Bún mắm,Mắm cá,40,Mắm cá sặc/cá linh
Bún mắm,Heo quay,50,Heo quay
Bún mắm,Mực,30,Mực
Bún mắm,Tôm,40,Tôm
Bún mắm,Cá lóc,30,Cá lóc
Bún mắm,Cà tím,20,Cà tím
Bún riêu,Bún tươi,120,Bún tươi
Bún riêu,Gạch cua,40,Gạch cua đồng
Bún riêu,Đậu hũ,50,Đậu hũ chiên
Bún riêu,Huyết heo,30,Huyết heo
Bún riêu,Cà chua,40,Cà chua
Bún riêu,Mắm tôm,15,Mắm tôm
Bún riêu,Rau sống,30,Rau sống làm đẹp
Bún thịt nướng,Bún tươi,120,Bún tươi
Bún thịt nướng,Thịt heo,80,Thịt heo nướng sả
Bún thịt nướng,Chả giò,30,Chả giò chiên
Bún thịt nướng,Mỡ hành,10,Mỡ hành phi
Bún thịt nướng,Đậu phộng,15,Đậu phộng
Bún thịt nướng,Đồ chua,40,Đồ chua
