TÊN THỨC ĂN,Calories (kcal),Protein (g),Fat (g),Carbonhydrates (g),Chất xơ (g),Cholesterol (mg),Canxi (mg),Photpho (mg),Sắt (mg),Natri (mg),Kali (mg),Beta Caroten (mcg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin C (mg),Loại
Đậu xanh,328.0,23.4,2.4,53.1,4.7,0.0,64.0,377.0,4.8,6.0,1132.0,30.0,0.0,0.72,4.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Hạt điều,605.0,18.4,46.3,28.7,0.6,0.0,28.0,462.0,3.6,0.0,0.0,5.0,0.0,0.25,1.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Đậu phộng,573.0,27.5,44.5,15.5,2.5,0.0,68.0,420.0,2.2,4.0,421.0,10.0,0.0,0.44,0.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Mè,568.0,20.1,46.4,17.6,3.5,0.0,1200.0,379.0,10.0,49.0,508.0,15.0,0.0,0.3,0.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Đậu phụ,95.0,10.9,5.4,0.7,0.4,0.0,24.0,85.0,2.2,0.0,0.0,0.0,0.0,0.03,0.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Thịt bê nạc,85.0,20.0,0.5,0.0,0.0,0.0,8.0,176.0,1.7,0.0,0.0,0.0,30.0,0.23,2.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt bò,118.0,21.0,3.8,0.0,0.0,59.0,12.0,226.0,3.1,83.0,378.0,0.0,12.0,0.1,1.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt mông chó,338.0,16.0,30.4,0.0,0.0,0.0,16.0,43.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt vai chó,230.0,18.0,17.6,0.0,0.0,0.0,20.0,36.0,0.7,0.0,0.0,0.0,0.0,0.04,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt dê nạc,122.0,20.7,4.3,0.0,0.0,0.0,11.0,129.0,2.0,0.0,0.0,0.0,91.0,0.07,1.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt gà ta,199.0,20.3,13.1,0.0,0.0,0.0,12.0,200.0,1.5,0.0,0.0,0.0,120.0,0.15,4.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt heo mỡ,394.0,14.5,37.3,0.0,0.0,0.0,8.0,156.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt heo nạc,139.0,19.0,7.0,0.0,0.0,0.0,7.0,190.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt heo ba chỉ,260.0,16.5,21.5,0.0,0.0,0.0,9.0,178.0,1.5,0.0,0.0,0.0,10.0,0.53,2.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt thỏ,158.0,21.5,8.0,0.0,0.0,65.0,21.0,224.0,1.6,0.0,0.0,0.0,0.0,0.08,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt vịt,267.0,17.8,21.8,0.0,0.0,76.0,13.0,145.0,1.8,0.0,0.0,0.0,270.0,0.07,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Cật bò,67.0,12.5,1.8,0.3,0.0,0.0,9.0,219.0,7.1,200.0,0.0,0.0,330.0,0.4,6.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Cật heo,81.0,13.0,3.1,0.3,0.0,375.0,8.0,223.0,8.0,0.0,390.0,0.0,150.0,0.38,5.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Da heo,118.0,23.3,2.7,0.0,0.0,0.0,11.0,8.0,0.4,0.0,0.0,0.0,0.0,0.29,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Giòheo bỏ xương,230.0,15.7,18.6,0.0,0.0,60.0,24.0,106.0,2.1,0.0,0.0,0.0,30.0,0.01,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Bao tử bò,97.0,14.8,4.2,0.0,0.0,95.0,150.0,85.0,0.9,0.0,0.0,0.0,0.0,0.04,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Bao tử heo,85.0,14.6,2.9,0.0,0.0,0.0,8.0,144.0,1.4,0.0,0.0,0.0,0.0,0.05,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Đầu heo,335.0,13.4,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Đuôi bò,137.0,19.7,6.5,0.0,0.0,0.0,7.0,162.0,2.5,0.0,0.0,0.0,0.0,0.03,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Đuôi heo,467.0,10.8,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Gan bò,110.0,17.4,3.1,3.0,0.0,0.0,5.0,340.0,9.0,110.0,213.0,0.0,5000.0,0.4,30.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Gan gà,111.0,18.2,3.4,2.0,0.0,440.0,21.0,260.0,8.2,0.0,335.0,0.0,6960.0,0.38,7.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Gan heo,116.0,18.8,3.6,2.0,0.0,320.0,7.0,353.0,12.0,110.0,447.0,0.0,6000.0,0.4,18.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Gan vịt,122.0,17.1,4.7,2.8,0.0,0.0,17.0,177.0,4.8,0.0,0.0,0.0,2960.0,0.44,7.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Gân chân bò,124.0,30.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Lưỡi bò,164.0,13.6,12.1,0.2,0.0,108.0,7.0,162.0,3.0,0.0,0.0,0.0,0.0,0.07,3.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Lưỡi heo,178.0,14.2,12.8,1.4,0.0,0.0,7.0,118.0,2.4,0.0,0.0,0.0,0.0,0.08,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Lòngheo (ruột già),167.0,6.9,15.1,0.8,0.0,0.0,12.0,55.0,0.5,0.0,0.0,0.0,0.0,0.09,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Phèo heo,44.0,7.2,1.3,0.8,0.0,0.0,7.0,48.0,0.8,0.0,0.0,0.0,0.0,0.09,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Mề gà,99.0,21.3,1.3,0.6,0.0,0.0,48.0,150.0,6.6,0.0,0.0,0.0,0.0,0.04,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Óc bò,124.0,9.0,9.5,0.5,0.0,0.0,6.0,311.0,0.9,0.0,0.0,0.0,0.0,0.13,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Óc heo,123.0,9.0,9.5,0.4,0.0,0.0,7.0,311.0,1.6,0.0,0.0,0.0,0.0,0.14,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Sườn heo bỏ xương,187.0,17.9,12.8,0.0,0.0,66.0,7.0,160.0,0.6,0.0,0.0,0.0,0.0,0.96,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Tai heo,121.0,21.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Tim bò,89.0,15.0,3.0,0.6,0.0,0.0,5.0,185.0,5.4,0.0,0.0,0.0,6.0,0.31,7.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Tim gà,114.0,16.0,5.5,0.0,0.0,0.0,21.0,185.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Tim heo,89.0,15.1,3.2,0.0,0.0,140.0,7.0,213.0,5.9,0.0,0.0,0.0,8.0,0.34,1.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Huyết bò,75.0,18.0,0.2,0.4,0.0,0.0,8.0,31.0,52.6,0.0,0.0,0.0,30.0,0.09,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Huyết heo luộc,44.0,10.7,0.1,0.0,0.0,0.0,7.0,12.0,25.9,0.0,0.0,0.0,93.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Huyết heo sống,25.0,5.7,0.1,0.2,0.0,0.0,7.0,7.0,20.4,0.0,0.0,0.0,25.8,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Pa-tê,326.0,10.8,24.6,15.4,0.0,0.0,26.0,88.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Chả quế,416.0,16.2,39.0,0.0,0.0,0.0,16.0,44.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Dăm bông heo,318.0,23.0,25.0,0.3,0.0,70.0,10.0,110.0,2.1,0.0,0.0,0.0,0.0,0.4,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Chả bò,357.0,13.8,33.5,0.0,0.0,0.0,18.0,12.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Chả lụa,136.0,21.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Giò thủ,553.0,16.0,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Lạp xưởng,585.0,20.8,55.0,1.7,0.0,0.0,52.0,175.0,3.0,0.0,0.0,0.0,0.0,0.46,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Nem chua,137.0,21.7,3.7,4.3,0.0,0.0,24.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Chà bông,396.0,46.6,20.3,0.0,0.0,0.0,29.0,15.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Thịt bò khô,239.0,51.0,1.6,5.2,0.0,0.0,31.0,476.0,8.1,0.0,0.0,0.0,0.0,0.13,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Xúc xích,535.0,27.2,47.4,0.0,0.0,0.0,7.0,139.0,1.9,0.0,0.0,0.0,0.0,0.34,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Ếch,90.0,20.0,1.1,0.0,0.0,0.0,22.0,159.0,1.3,0.0,0.0,0.0,5.0,0.04,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Nhộng,111.0,13.0,6.5,0.0,0.0,0.0,40.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỊT VÀ SẢN PHẨM CHẾ BIẾN
Cá bống,70.0,15.8,0.8,0.0,0.0,0.0,17.0,181.0,0.9,0.0,0.0,0.0,0.0,0.02,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá chép,96.0,16.0,3.6,0.0,0.0,70.0,17.0,184.0,0.9,0.0,397.0,0.0,181.0,0.02,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá đối,108.0,19.5,3.3,0.0,0.0,0.0,21.0,224.0,1.0,0.0,0.0,0.0,45.0,0.07,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá hồi,136.0,22.0,5.3,0.0,0.0,0.0,13.0,230.0,1.1,0.0,0.0,0.0,30.0,0.22,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá khô,208.0,43.3,3.9,0.0,0.0,0.0,120.0,95.0,0.9,0.0,0.0,0.0,0.0,0.08,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá mè,144.0,15.4,9.1,0.0,0.0,0.0,157.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá mòi,124.0,17.5,6.0,0.0,0.0,0.0,80.0,240.0,3.0,0.0,0.0,0.0,20.0,0.02,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá mỡ,151.0,16.8,9.3,0.0,0.0,0.0,42.0,173.0,1.4,0.0,0.0,0.0,30.0,0.08,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá nạc,80.0,17.5,1.1,0.0,0.0,0.0,42.0,173.0,1.4,0.0,0.0,0.0,0.0,0.06,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá ngừ,87.0,21.0,0.3,0.0,0.0,0.0,44.0,206.0,1.0,78.0,518.0,0.0,5.0,0.02,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá nục,111.0,20.2,3.3,0.0,0.0,0.0,85.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá phèn,104.0,15.9,4.5,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá lóc,97.0,18.2,2.7,0.0,0.0,0.0,90.0,240.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá rô đồng,126.0,19.1,5.5,0.0,0.0,0.0,26.0,151.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá rô phi,100.0,19.7,2.3,0.0,0.0,0.0,50.0,147.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá thu,166.0,18.2,10.3,0.0,0.0,0.0,50.0,90.0,1.3,110.0,486.0,0.0,10.0,0.07,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá trê,173.0,16.5,11.9,0.0,0.0,0.0,20.0,210.0,1.0,0.0,0.0,0.0,93.3,0.1,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cua biển,103.0,17.5,0.6,7.0,0.0,0.0,141.0,191.0,3.8,316.0,322.0,0.0,35.8,0.03,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cua đồng,87.0,12.3,3.3,2.0,0.0,0.0,5040.0,430.0,4.7,0.0,0.0,0.0,0.0,0.01,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ghẹ,54.0,11.9,0.7,0.0,0.0,0.0,40.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Hải sâm,90.0,21.5,0.3,0.2,0.0,0.0,118.0,22.0,1.4,0.0,0.0,0.0,102.0,0.01,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Hến,45.0,4.5,0.7,5.1,0.0,0.0,144.0,86.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Lươn,94.0,20.0,1.5,0.0,0.0,0.0,35.0,164.0,1.0,0.0,0.0,0.0,1800.0,0.15,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Mực khô,291.0,60.1,4.5,2.5,0.0,0.0,27.0,287.0,5.6,0.0,0.0,0.0,0.0,0.13,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Mực tươi,73.0,16.3,0.9,0.0,0.0,0.0,14.0,150.0,0.6,0.0,273.0,0.0,0.0,0.01,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ốc bươu,84.0,11.1,0.7,8.3,0.0,0.0,1310.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ba khía muối,83.0,14.2,2.9,0.0,0.0,0.0,4820.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Sò,51.0,8.8,0.4,3.0,0.0,0.0,37.0,82.0,1.9,380.0,223.0,0.0,52.5,0.03,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tép gạo,58.0,11.7,1.2,0.0,0.0,0.0,910.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm biển,82.0,17.6,0.9,0.9,0.0,0.0,79.0,184.0,1.6,0.0,0.0,5.0,20.0,0.04,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm đồng,90.0,18.4,1.8,0.0,0.0,200.0,1120.0,150.0,2.2,418.0,316.0,0.0,15.0,0.02,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm khô,347.0,75.6,3.8,2.5,0.0,0.0,236.0,995.0,4.6,0.0,0.0,0.0,0.0,0.16,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Bánh phồng tôm,676.0,1.6,59.2,34.1,0.0,0.0,175.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Chà bông cá lóc,312.0,65.7,4.1,3.0,0.0,0.0,26.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Trứng gà,166.0,14.8,11.6,0.5,0.0,600.0,55.0,210.0,2.7,158.0,176.0,281.0,700.0,0.16,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng đỏ trứng gà,327.0,13.6,29.8,1.0,0.0,1790.0,134.0,532.0,7.0,108.0,169.0,578.0,960.0,0.32,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng trắng trứng gà,46.0,10.3,0.1,1.0,0.0,0.0,19.0,16.0,0.3,215.0,172.0,0.0,0.0,0.01,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Trứng vịt,184.0,13.0,14.2,1.0,0.0,600.0,71.0,210.0,3.2,191.0,258.0,185.0,360.0,0.15,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng đỏ trứng vịt,368.0,13.6,32.3,4.8,0.0,1790.0,146.0,328.0,5.6,0.0,0.0,695.0,1625.0,0.54,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng trắng trứngvịt,50.0,10.7,0.1,0.8,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Trứng vịt lộn,182.0,13.6,12.4,4.0,0.0,600.0,82.0,212.0,3.0,0.0,0.0,435.0,875.0,0.12,3.0,TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Sữa bò tươi,74.0,3.9,4.4,4.8,0.0,30.0,120.0,95.0,0.1,380.0,0.0,22.0,50.0,0.05,1.0,SỮA VÀ SẢN PHẨM CHẾ BIẾN
Sữa mẹ,61.0,1.5,3.0,7.0,0.0,0.0,34.0,15.0,0.1,15.0,41.0,30.0,90.0,0.01,6.0,SỮA VÀ SẢN PHẨM CHẾ BIẾN
Thơm hộp,56.0,0.3,0.0,13.7,0.2,0.0,20.0,12.0,0.3,0.0,0.0,10.0,0.0,0.06,14.0,ĐỒ HỘP
Đậu phộng chiên,680.0,25.7,59.5,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒ HỘP
Mứt thơm,208.0,0.5,0.0,51.5,0.4,0.0,20.0,16.0,0.3,0.0,0.0,20.0,0.0,0.09,13.0,ĐỒ HỘP
Mứt đu đủ,178.0,0.4,0.0,44.1,2.0,0.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒ HỘP
Nhãn hộp,62.0,0.5,0.0,15.0,1.0,0.0,12.0,230.0,0.3,0.0,0.0,0.0,0.0,0.0,32.0,ĐỒ HỘP
Nước thơm,39.0,0.3,0.0,9.4,0.4,0.0,32.0,12.0,0.3,0.0,0.0,0.0,0.0,0.04,41.0,ĐỒ HỘP
Vải hộp,60.0,0.4,0.0,14.7,1.1,0.0,8.0,160.0,0.6,0.0,0.0,0.0,0.0,0.0,10.0,ĐỒ HỘP
Cá thu hộp,207.0,24.8,12.0,0.0,0.0,0.0,50.0,260.0,1.6,0.0,0.0,0.0,0.0,0.02,0.0,ĐỒ HỘP
Cá trích hộp,233.0,22.3,14.4,3.5,0.0,52.0,86.0,437.0,2.3,0.0,0.0,0.0,28.0,0.02,0.0,ĐỒ HỘP
Thịt bò hộp,251.0,16.4,20.6,0.0,0.0,85.0,13.0,250.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒ HỘP
Thịt gà hộp,273.0,17.0,22.8,0.0,0.0,120.0,108.0,138.0,2.8,0.0,0.0,0.0,520.0,0.09,0.0,ĐỒ HỘP
Thịt heo hộp,344.0,17.3,29.3,2.7,0.0,60.0,9.0,200.0,1.2,0.0,0.0,0.0,0.0,0.19,0.0,ĐỒ HỘP
Bánh mì khô,346.0,12.3,1.3,71.3,0.8,0.0,39.0,231.0,2.7,0.0,0.0,13.0,86.0,0.36,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh in chay,376.0,3.2,0.3,90.2,0.2,0.0,2.0,0.9,0.1,0.0,0.0,0.0,0.0,0.04,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh sôcôla,449.0,3.9,17.6,68.8,0.0,0.0,58.0,142.0,3.7,0.0,0.0,10.0,13.0,0.04,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh thỏi sôcôla,543.0,4.9,30.4,62.5,0.0,172.0,280.0,280.0,1.5,0.0,0.0,2.0,0.0,0.03,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Bánh men,369.0,9.6,3.7,74.2,0.2,0.0,76.0,140.4,3.9,0.0,0.0,105.0,17.0,0.15,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Đường cát trắng,397.0,0.0,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
Kẹo cà phê,378.0,0.0,1.3,91.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
